nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
001,09,034,0,001,01,008,1
001,09,008,0,001,02,008,1
001,09,015,0,001,03,008,1
001,09,011,0,001,04,008,1
001,09,024,0,001,05,008,1
001,09,027,0,001,06,008,1
001,09,032,0,001,07,008,1
001,10,030,0,001,00,004,1
001,10,013,0,001,01,004,1
001,10,034,0,001,02,004,1
001,10,014,0,001,03,004,1
001,10,028,0,001,04,004,1
001,10,008,0,001,05,004,1
001,10,026,0,001,06,004,1
001,10,011,0,001,07,004,1
001,11,009,0,001,00,000,1
001,11,030,0,001,01,000,1
001,11,029,0,001,02,000,1
001,11,034,0,001,03,000,1
001,11,027,0,001,04,000,1
001,11,010,0,001,05,000,1
001,11,025,0,001,06,000,1
001,11,032,0,001,07,000,1
001,12,031,0,001,00,010,1
001,12,015,0,001,01,010,1
001,12,012,0,001,02,010,1
001,12,034,0,001,03,010,1
001,12,027,0,001,04,010,1
001,12,029,0,001,05,010,1
001,12,010,0,001,06,010,1
001,12,024,0,001,07,010,1
001,13,012,0,001,00,006,1
001,13,025,0,001,01,006,1
001,13,026,0,001,02,006,1
001,13,015,0,001,03,006,1
001,13,029,0,001,04,006,1
001,13,010,0,001,05,006,1
001,13,031,0,001,06,006,1
001,13,034,0,001,07,006,1
001,08,024,0,001,00,003,1
001,08,026,0,001,01,003,1
001,08,035,0,001,02,003,1
001,08,033,0,001,03,003,1
001,08,011,0,001,04,003,1
001,08,028,0,001,05,003,1
001,08,031,0,001,06,003,1
001,08,009,0,001,07,003,1
001,09,013,0,001,00,009,1
001,09,035,0,001,01,009,1
001,09,009,0,001,02,009,1
001,09,014,0,001,03,009,1
001,09,010,0,001,04,009,1
001,09,025,0,001,05,009,1
001,09,026,0,001,06,009,1
001,09,033,0,001,07,009,1
001,10,031,0,001,00,005,1
001,10,012,0,001,01,005,1
001,10,035,0,001,02,005,1
001,10,015,0,001,03,005,1
001,10,029,0,001,04,005,1
001,10,009,0,001,05,005,1
001,10,027,0,001,06,005,1
001,10,010,0,001,07,005,1
001,11,008,0,001,00,001,1
001,11,031,0,001,01,001,1
001,11,028,0,001,02,001,1
001,11,035,0,001,03,001,1
001,11,026,0,001,04,001,1
001,11,011,0,001,05,001,1
001,11,024,0,001,06,001,1
001,11,033,0,001,07,001,1
001,12,030,0,001,00,011,1
001,12,014,0,001,01,011,1
001,12,013,0,001,02,011,1
001,12,035,0,001,03,011,1
001,12,026,0,001,04,011,1
001,12,028,0,001,05,011,1
001,12,011,0,001,06,011,1
001,12,025,0,001,07,011,1
001,13,013,0,001,00,007,1
001,13,024,0,001,01,007,1
001,13,027,0,001,02,007,1
001,13,014,0,001,03,007,1
001,13,028,0,001,04,007,1
001,13,011,0,001,05,007,1
001,13,030,0,001,06,007,1
001,13,035,0,001,07,007,1
000,08,007,0,002,00,027,0
000,08,006,0,002,00,026,0
000,08,005,0,002,00,030,0
000,08,004,0,002,00,031,0
000,08,001,0,002,00,032,0
000,08,000,0,002,00,033,0
000,08,003,0,002,00,035,0
000,08,002,0,002,00,034,0
000,08,021,0,002,00,010,0
000,08,020,0,002,00,011,0
000,08,023,0,002,00,015,0
000,08,022,0,002,00,014,0
000,08,019,0,002,00,008,0
000,08,018,0,002,00,009,0
000,08,017,0,002,00,013,0
000,08,016,0,002,00,012,0
001,08,007,0,002,00,001,0
001,08,006,0,002,00,000,0
001,08,005,0,002,00,004,0
001,08,004,0,002,00,005,0
001,08,001,0,002,00,003,0
001,08,000,0,002,00,002,0
001,08,003,0,002,00,006,0
001,08,002,0,002,00,007,0
001,08,021,0,002,00,018,0
001,08,020,0,002,00,019,0
001,08,023,0,002,00,023,0
001,08,022,0,002,00,022,0
001,08,019,0,002,00,016,0
001,08,018,0,002,00,017,0
001,08,017,0,002,00,021,0
001,08,016,0,002,00,020,0
000,09,007,0,002,01,027,0
000,09,006,0,002,01,026,0
000,09,005,0,002,01,030,0
000,09,004,0,002,01,031,0
000,09,001,0,002,01,032,0
000,09,000,0,002,01,033,0
000,09,003,0,002,01,035,0
000,09,002,0,002,01,034,0
000,09,021,0,002,01,010,0
000,09,020,0,002,01,011,0
000,09,023,0,002,01,015,0
000,09,022,0,002,01,014,0
000,09,019,0,002,01,008,0
000,09,018,0,002,01,009,0
000,09,017,0,002,01,013,0
000,09,016,0,002,01,012,0
001,09,007,0,002,01,001,0
001,09,006,0,002,01,000,0
001,09,005,0,002,01,004,0
001,09,004,0,002,01,005,0
001,09,001,0,002,01,003,0
001,09,000,0,002,01,002,0
001,09,003,0,002,01,006,0
001,09,002,0,002,01,007,0
001,09,021,0,002,01,018,0
001,09,020,0,002,01,019,0
001,09,023,0,002,01,023,0
001,09,022,0,002,01,022,0
001,09,019,0,002,01,016,0
001,09,018,0,002,01,017,0
001,09,017,0,002,01,021,0
001,09,016,0,002,01,020,0
000,10,007,0,003,00,027,0
000,10,006,0,003,00,026,0
000,10,005,0,003,00,030,0
000,10,004,0,003,00,031,0
000,10,001,0,003,00,032,0
000,10,000,0,003,00,033,0
000,10,003,0,003,00,035,0
000,10,002,0,003,00,034,0
000,10,021,0,003,00,010,0
000,10,020,0,003,00,011,0
000,10,023,0,003,00,015,0
000,10,022,0,003,00,014,0
000,10,019,0,003,00,008,0
000,10,018,0,003,00,009,0
000,10,017,0,003,00,013,0
000,10,016,0,003,00,012,0
001,10,007,0,003,00,001,0
001,10,006,0,003,00,000,0
001,10,005,0,003,00,004,0
001,10,004,0,003,00,005,0
001,10,001,0,003,00,003,0
001,10,000,0,003,00,002,0
001,10,003,0,003,00,006,0
001,10,002,0,003,00,007,0
001,10,021,0,003,00,018,0
001,10,020,0,003,00,019,0
001,10,023,0,003,00,023,0
001,10,022,0,003,00,022,0
001,10,019,0,003,00,016,0
001,10,018,0,003,00,017,0
001,10,017,0,003,00,021,0
001,10,016,0,003,00,020,0
000,11,007,0,003,01,027,0
000,11,006,0,003,01,026,0
000,11,005,0,003,01,030,0
000,11,004,0,003,01,031,0
000,11,001,0,003,01,032,0
000,11,000,0,003,01,033,0
000,11,003,0,003,01,035,0
000,11,002,0,003,01,034,0
000,11,021,0,003,01,010,0
000,11,020,0,003,01,011,0
000,11,023,0,003,01,015,0
000,11,022,0,003,01,014,0
000,11,019,0,003,01,008,0
000,11,018,0,003,01,009,0
000,11,017,0,003,01,013,0
000,11,016,0,003,01,012,0
001,11,007,0,003,01,001,0
001,11,006,0,003,01,000,0
001,11,005,0,003,01,004,0
001,11,004,0,003,01,005,0
001,11,001,0,003,01,003,0
001,11,000,0,003,01,002,0
001,11,003,0,003,01,006,0
001,11,002,0,003,01,007,0
